10,02,00,00,23,20,09,1f,d2,1f,d6,1f,fa,1f,ed,1f,ee,1f,b9,1f,d6,1f,e8,1f,df,1f,b7,1f,9c,1f,c2,1f,e5,1f,de,1f,dd,1f,d7,1f,e7,1f,bc,1f,c8,1f,ba,1f,bf,1f,fc,20,16,20,17,20,18,20,0b,1f,e2,1f,fe,1f,cd,1f,c3,20,00,20,1b,1f,f9,1f,ec,1f,cb,20,06,1f,ef,EOP
10,02,00,00,24,1f,f4,1f,f4,1f,af,1f,91,1f,7d,1f,94,1f,6b,1f,6a,1f,66,1f,86,1f,b2,20,1a,1f,e2,1f,fc,1f,dd,1f,a8,1f,a1,1f,c8,1f,e0,1f,e3,1f,f9,1f,f2,20,0e,1f,fc,1f,f2,1f,f6,20,07,1f,e0,1f,dd,1f,d1,1f,ca,1f,cb,1f,e3,1f,fa,20,0d,20,37,20,3e,20,7f,EOP
10,02,00,00,25,20,42,20,10,20,15,1f,f1,20,05,20,16,20,1d,1f,fb,1f,f1,20,19,1f,fd,1f,f3,1f,fb,1f,f4,1f,e9,1f,ea,1f,e8,1f,e4,1f,e3,1f,da,1f,c7,1f,c4,1f,af,1f,a2,1f,a3,1f,ab,1f,aa,1f,8f,1f,7d,1f,66,1f,80,1f,d3,1f,ea,1f,e5,1f,c9,1f,b1,1f,b2,1f,ba,EOP
10,02,00,00,26,1f,ca,1f,ad,1f,b8,1f,a7,1f,a9,1f,9f,1f,8c,1f,6e,1f,87,1f,7f,1f,6a,1f,71,1f,c8,1f,ce,20,14,20,09,20,54,20,65,20,60,20,84,20,60,20,6b,20,46,20,6a,20,3e,20,6b,20,69,20,6b,20,39,20,06,20,35,1f,f3,1f,c1,1f,8e,1f,48,1f,1e,1e,ef,1e,f1,EOP
10,02,00,00,27,1e,cb,1f,14,1f,7e,1f,a6,1f,d0,20,04,1f,fc,20,1b,1f,e1,1f,df,20,07,1f,e7,1f,d9,1f,cd,20,11,20,0f,20,23,20,19,20,45,20,3a,20,4e,20,06,1f,b0,1f,9a,1f,70,1f,73,1f,77,1f,55,1f,4a,1f,74,1f,9d,1f,af,1f,e1,20,0c,20,0b,20,31,20,4e,20,8c,EOP
10,02,00,00,28,20,82,20,92,20,ab,20,6d,20,4c,20,44,20,29,1f,b5,1f,51,1f,4a,1f,48,1f,43,1f,60,1f,87,1f,92,1f,d5,20,01,20,55,20,59,20,64,20,7a,20,44,1f,dc,1f,bb,1f,8b,1f,52,1e,fd,1e,c2,1e,c1,1e,ba,1e,6c,1e,58,1e,b1,1e,d0,1f,61,1f,88,1f,ce,20,1b,EOP
10,02,00,00,29,20,55,20,73,20,9b,20,c2,20,df,20,db,20,d5,20,a0,20,85,20,35,20,00,1f,cd,20,05,20,12,1f,f2,1f,f3,1f,e7,1f,ca,1f,a0,1f,a7,1f,a2,1f,ac,1f,97,1f,b7,1f,8e,1f,7c,1f,81,1f,8f,1f,9d,1f,a3,1f,b4,1f,aa,1f,8f,1f,93,1f,98,1f,c7,1f,c3,1f,c3,EOP
10,02,00,00,2a,1f,cc,1f,f2,1f,d2,1f,94,1f,93,1f,9e,1f,c0,1f,e6,1f,d5,1f,a0,1f,a8,1f,a1,1f,9f,1f,87,1f,66,1f,4d,1f,48,1f,7e,1f,a8,1f,e9,20,20,20,66,20,63,20,7d,20,99,20,a8,20,c7,20,ae,20,69,20,6a,20,76,20,73,20,34,20,15,20,18,1f,eb,1f,c1,1f,93,EOP
10,02,00,00,2b,1f,d9,1f,c1,1f,a8,1f,87,1f,5a,1f,5d,1f,56,1f,78,1f,ac,1f,b2,1f,bf,1f,dd,1f,db,1f,e5,1f,e3,1f,d9,1f,b4,1f,a5,1f,d1,1f,ec,20,0c,20,13,1f,c9,1f,ac,1f,a7,1f,a6,1f,9a,1f,92,1f,82,1f,a0,1f,d4,1f,fb,20,31,20,4d,20,6c,20,53,20,1a,20,0f,EOP
10,02,00,00,2c,20,18,20,2c,20,0f,20,0c,1f,ea,20,00,1f,d0,1f,ab,1f,b4,1f,a5,1f,aa,1f,b6,1f,9e,1f,bd,1f,fc,20,22,20,08,20,1b,20,03,1f,f2,1f,fe,1f,f6,20,02,1f,cd,1f,d1,1f,c5,1f,e4,1f,f2,1f,ff,1f,f6,1f,c0,1f,a6,1f,ab,1f,c0,1f,d0,1f,d6,1f,cf,1f,f3,EOP
10,02,00,00,2d,1f,e3,1f,ca,1f,a9,1f,a4,1f,c8,1f,ca,1f,da,1f,eb,1f,ec,1f,db,1f,dc,1f,ee,1f,fc,1f,eb,1f,e1,1f,e2,1f,b6,1f,bb,1f,a0,1f,9b,1f,a0,1f,cc,1f,a1,1f,9f,1f,d2,1f,f1,1f,bb,1f,ad,1f,bd,1f,9c,1f,c2,1f,9b,1f,a6,1f,8a,1f,74,1f,98,1f,9f,1f,d7,EOP
10,02,00,00,2e,1f,f1,20,43,20,72,20,c3,20,ba,20,a2,20,4e,1f,ff,20,2e,1f,d4,1f,82,1f,31,1f,1a,1e,ef,1f,17,1f,18,1f,07,1e,ea,1f,07,1f,5b,1f,af,1f,c8,1f,de,1f,d2,20,13,20,38,20,53,20,54,20,56,20,2b,20,22,1f,ea,1f,e8,1f,ca,1f,b9,1f,b8,1f,cc,1f,bc,EOP
10,02,00,00,2f,1f,de,1f,d5,1f,c3,1f,c5,1f,c6,1f,ad,1f,7c,1f,77,1f,93,1f,c0,1f,ca,1f,c0,1f,c5,1f,cf,1f,dd,1f,b5,1f,c2,1f,f2,20,11,20,06,1f,e9,1f,fe,20,0f,1f,eb,1f,c4,20,06,20,1a,20,01,1f,d3,1f,cd,1f,b1,1f,d0,1f,eb,1f,bc,1f,8a,1f,c4,20,00,1f,d8,EOP
10,02,00,00,30,1f,fe,20,19,20,3a,20,16,20,0a,1f,f6,20,13,20,1a,20,22,20,08,1f,f5,1f,ed,1f,e8,1f,f1,1f,fb,20,15,1f,de,1f,cc,1f,c8,1f,cf,1f,d5,1f,ff,1f,a4,1f,2a,1e,7a,1d,a1,1c,cb,1b,e0,1b,82,1b,7a,1c,9e,1e,57,20,90,23,a5,26,86,29,36,2b,6a,2c,a3,EOP
10,02,00,00,31,2c,78,2a,e2,28,06,24,91,20,83,1c,5a,18,49,14,cc,12,67,11,5f,11,bf,13,57,15,f5,19,39,1c,a6,20,18,23,2d,25,ad,27,5f,28,0d,27,f5,27,09,25,92,23,a1,21,96,1f,e9,1e,78,1d,98,1d,36,1d,33,1d,a6,1e,9f,1f,cd,21,6d,22,eb,23,c4,24,4b,24,8c,EOP
10,02,00,00,32,24,3e,23,36,21,5e,1f,49,1c,d2,1a,64,18,54,17,08,16,71,17,02,18,95,1a,f2,1d,d7,21,52,24,82,26,da,28,b5,29,9c,29,a8,28,ed,27,45,25,21,22,f5,20,c7,1e,b4,1d,1c,1b,ca,1b,2f,1b,16,1b,4f,1b,e0,1c,be,1d,a6,1e,5b,1e,f4,1f,6b,1f,fa,20,30,EOP
10,02,00,00,33,20,3c,20,3d,20,50,20,65,20,7f,20,9c,20,8e,20,ac,20,b8,20,88,20,9e,20,9b,20,a4,20,b0,20,9b,20,9c,20,97,20,7b,20,77,20,8a,20,80,20,29,1f,b0,1f,22,1e,97,1e,6b,1e,40,1d,ff,1d,de,1d,f4,1e,20,1e,ae,1e,e4,1f,3d,1f,e6,20,85,21,35,21,bd,EOP
10,02,00,00,34,22,1a,22,70,22,8b,22,74,22,3b,22,0f,21,ae,21,2f,20,d3,20,42,1f,bb,1f,10,1e,e0,1e,56,1d,e6,1d,ac,1d,a7,1d,93,1d,b6,1e,2a,1e,83,1e,c3,1f,20,1f,72,1f,b6,1f,dd,20,10,20,0c,20,3c,20,76,20,8a,20,7d,20,77,20,ac,20,dc,20,f0,21,07,21,1d,EOP
10,02,00,00,35,21,30,21,14,20,df,21,0f,21,04,20,b6,20,98,20,29,1f,dc,1f,b0,1f,9e,1f,55,1f,39,1f,2a,1f,3a,1f,60,1f,7c,1f,a5,1f,b3,1f,9b,1f,ba,1f,b5,1f,cb,1f,e1,1f,fc,20,03,20,15,20,22,20,0a,1f,ca,1f,ca,20,12,20,0f,20,15,20,39,20,41,20,35,1f,d2,EOP
10,02,00,00,36,1f,c8,1f,e4,1f,f0,20,12,20,1b,1f,ff,20,3f,20,38,20,68,20,65,20,90,20,88,20,8e,20,97,20,69,20,4a,20,17,20,17,1f,ee,1f,d5,1f,ba,1f,d7,1f,a6,1f,c3,1f,93,1f,68,1f,7f,1f,89,1f,95,1f,8e,1f,80,1f,b7,1f,c4,1f,cf,20,00,1f,da,1f,f1,1f,e7,EOP
10,02,00,00,37,20,22,20,28,20,45,20,39,20,34,20,06,20,03,20,06,20,16,20,0d,20,09,1f,e0,1f,f0,20,16,20,28,20,3b,20,5b,20,81,20,57,20,34,1f,fa,1f,e6,1f,f3,1f,db,1f,fa,1f,ec,1f,d8,1f,e5,1f,cd,1f,9b,1f,90,1f,ad,1f,a5,1f,af,1f,ce,20,0b,20,29,20,62,EOP
